种类,w,H2Sout,CO2out,H2Sout,ph,浓度,液体流量,气体流量,H2S脱除率,CO2脱除率
栲胶,200,97,5.27,132.89,9.2,1500/5.28%（5.46%）,5,300,93.53333333,3.47985348
栲胶,400,45,5.33,61.65,9.2,1500/5.28%（5.46%）,5,300,97,2.380952381
栲胶,600,31,5.31,42.47,9.2,1500/5.28%（5.46%）,5,300,97.93333333,2.747252747
栲胶,800,62,5.31,84.94,9.2,1500/5.28%（5.46%）,5,300,95.86666667,2.747252747
栲胶,1000,78,5.3,106.86,9.2,1500/5.28%（5.46%）,5,300,94.8,2.93040293
栲胶,1200,91,5.28,124.67,9.2,1500/5.28%（5.46%）,5,300,93.93333333,3.296703297
栲胶,1400,118,5.29,161.66,9.2,1500/5.28%（5.46%）,5,300,92.13333333,3.113553114
pds,200,143,5.12,195.91,9.2,1508/5.04%（5.4%）,5,300,90.46666667,5.185185185
pds,400,45,5.09,61.65,9.2,1508/5.04%（5.4%）,5,300,97,5.740740741
pds,600,33,5.09,45.21,9.2,1508/5.04%（5.4%）,5,300,97.8,5.740740741
pds,800,46,5.06,63.02,9.2,1508/5.04%（5.4%）,5,300,96.93333333,6.296296296
pds,1000,66,5.03,90.42,9.2,1508/5.04%（5.4%）,5,300,95.6,6.851851852
pds,1200,88,5.06,120.56,9.2,1508/5.04%（5.4%）,5,300,94.13333333,6.296296296
pds,1400,107,5.03,146.59,9.2,1508/5.04%（5.4%）,5,300,92.86666667,6.851851852
络合铁,200,272,5.21,372.64,9.2,1508/5.04%（5.21%）,5,300,81.86666667,0
络合铁,400,54,5.2,73.98,9.2,1508/5.04%（5.21%）,5,300,96.4,0.19193858
络合铁,600,52,5.16,71.24,9.2,1508/5.04%（5.21%）,5,300,96.53333333,0.959692898
络合铁,800,58,5.17,79.46,9.2,1508/5.04%（5.21%）,5,300,96.13333333,0.767754319
络合铁,1000,78,5.14,106.86,9.2,1508/5.04%（5.21%）,5,300,94.8,1.343570058
络合铁,1200,94,5.17,128.78,9.2,1508/5.04%（5.21%）,5,300,93.73333333,0.767754319
络合铁,1400,113,5.15,154.81,9.2,1508/5.04%（5.21%）,5,300,92.46666667,1.151631478
